upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
Y 27632,NA,chemical drug,NA,-1.132,0.00109,"ACTA2,CDKN2B,FABP4,SOX9,TAGLN,THBS1,VCAM1",163 (21)
DUSP1,2.761,phosphatase,NA,1.706,0.00109,"ACVR1C,CIDEC,DUSP1,GDF15,PIK3R1,PRDM1,SOCS1,TGFB2,VCAM1",240 (18)
APC,NA,enzyme,NA,-0.765,0.00109,"APCDD1,AXIN2,CXCL12,MMP10,MMP7,PDK4,PLA2G4A,TNFRSF11B,VEGFA",206 (13)
GATA4,NA,transcription regulator,NA,0.823,0.00109,"ADORA1,ATP2A2,CDKN2B,COL1A1,CORIN,CRABP2,DIO2,INHBB,PRDM1,SOX9,TAGLN,VCAM1",NA
miR-532-5p (and other miRNAs w/seed AUGCCUU),NA,mature microrna,NA,-1.911,0.0011,"AASS,ACKR4,ARMC8,CD163,CXCL12,DNAJC6,EPHA4,FER1L6,IGDCC4,IRS2,KLF5,LEP,MCTP1,MYOZ2,NKD1,NUAK1,OMD,PAIP2B,PDE5A,RHOJ,SLITRK6,SSH2,SYN2,TXNRD1,VGLL3,WNT2",NA
ELAVL1,NA,other,NA,-0.254,0.0011,"ATF3,CCL8,DUSP1,HMOX1,HSPA2,PLCG2,SAT1,VEGFA",99 (7)
miR-4529-5p (miRNAs w/seed GGCCAUC),NA,mature microrna,NA,-0.985,0.00111,"ACSL1,CIT,EDA,ERP27,FAM107A,FAM160A1,FBN2,FKBP5,GDNF,GRIN2A,KCNK15,KCNK6,MARCKSL1,MMD,N4BP3,NEDD9,NKD1,NPC1L1,NUAK1,NYNRIN,PDK4,PER3,RAB11FIP4,RAPGEF5,RGL1,RND1,SAMD12,SAMHD1,SORBS1,SORL1,SOX9,ST8SIA1,STUM,TSPAN11,UBASH3B",NA
cyclosporin A,NA,biologic drug,NA,-0.766,0.00112,"ABLIM1,ACTA2,ADORA1,ANG,ATF3,CD163,CFLAR,COL1A1,EGR2,FKBP5,FST,HMOX1,IL12A,LYPD3,NFE2,NR4A1,SCD,SOCS1,TAGLN,TSPAN8,TUBB,VCAM1,VEGFA",188 (19)
miR-4267 (miRNAs w/seed CCAGCUC),NA,mature microrna,NA,-1.524,0.00112,"ABLIM1,ACKR2,ADARB1,ALPK3,AMOT,AXIN2,C1QTNF1,C20orf96,CAMK2A,CCDC69,CFLAR,CIDEC,CNIH3,CXCL12,DUSP10,EFR3B,FAM63B,GADD45B,ITGA10,KCNS1,KLF6,KLLN,LEP,LGI3,LGR4,LMOD1,MAFF,NEDD4L,NEDD9,NFIL3,NUAK1,PDPN,PLCXD3,RAMP3,RASL11A,RND2,SGCD,SLC39A10,SLC7A5,SOX4,STEAP4,TEX2,TSC22D1",NA
brefeldin A,NA,chemical - endogenous non-mammalian,NA,-0.052,0.00115,"ADRA1B,ATP2A2,GADD45B,HMOX1,KCND3,THBS1",171 (18)
miR-3617-5p (and other miRNAs w/seed AAGACAU),NA,mature microrna,NA,-0.271,0.00115,"ADAT2,AFAP1L2,AHCTF1,AMOT,ANG,ANXA4,CCDC71L,CYP24A1,DOK6,FGD4,GRIN2A,HIGD1A,KLHL42,MARCKSL1,MMP7,MYOZ2,OMG,PKIA,RGL1,ST8SIA1,STC1,STON1,SYDE2,TMEM47",NA
miR-490-5p (miRNAs w/seed CAUGGAU),NA,mature microrna,Inhibited,-2.066,0.00116,"ARHGAP42,CDC42EP3,COL4A3,EPHA4,FAM105A,FGF14,GCH1,HPS5,IQCA1,KLHDC7B,LMOD1,NAMPT,PER3,PLCXD3,PRKAG2,ROBO1,SEMA3A,STC1,TXNRD1,ZCCHC5,ZDHHC23",NA
CD40,NA,transmembrane receptor,Inhibited,-2.54,0.00117,"ANPEP,CFLAR,CXCL12,DUSP1,ICOSLG/LOC102723996,IL12A,IL4I1,KLF9,PRDM1,TNFRSF11B,TNFSF13B,VCAM1,VEGFA,ZBTB16",234 (16)
miR-4291 (and other miRNAs w/seed UCAGCAG),NA,mature microrna,NA,-0.179,0.00119,"ALDH3A1,ATP2A2,BRCA1,C9orf3,CD163,CES3,CHST7,CIT,ERRFI1,FGFR2,FNDC5,GDNF,GLS,GRIN2A,IMPA2,IRS2,MAP3K8,MEST,NCKAP5,P2RX7,PAIP2B,PDPN,PER1,PLXDC1,PNPLA2,PRKAG2,PRKG2,PRR5L,PSAT1,SLC19A3,SORL1,ST8SIA1,STEAP4,TNFSF13B,TSC22D1,WASF3,ZSCAN31",NA
GMNN,NA,transcription regulator,NA,-0.707,0.00119,"APCDD1,BMPER,DUSP1,DUSP5,FRZB,TGFB2,TXNRD1,VEGFA",NA
miR-4255 (miRNAs w/seed AGUGUUC),NA,mature microrna,NA,-1.416,0.0012,"ACSL1,ADAMTS1,AMPH,ARHGEF2,ATP2A2,C7,FAM171B,FOXO3,INPP5A,JADE1,KLF9,LRRC4,LRRN1,PDE5A,PDK4,PDZD2,RASL11B,SAMD12,SLC38A2,TBX18,TJP2",NA
miR-4717-5p (and other miRNAs w/seed AGGCCAC),NA,mature microrna,NA,0.054,0.00121,"ABAT,ALPK3,BRCA1,CCDC71L,CFLAR,CRISPLD2,DNM1,EDA,FAIM2,FAM171B,FAM20A,FRK,GGT5,GPR20,HIF3A,HMOX1,KCNQ3,KLF9,MMP15,MXRA5,NID1,NKD1,NYNRIN,PDK4,PER1,PIK3R3,PPTC7,PXDC1,RAB11FIP4,RAMP3,RHOJ,SLC51B,STC1,SULT1C2,SYN2,TMEM217,TMEM26,TMEM37,TNFSF15,VCAM1,WNT2,ZDHHC23,ZSCAN31",NA
Tnf (family),NA,group,NA,-0.622,0.00121,"ADAMTS5,ATF3,CCL8,CD163,CFLAR,CXCL12,FST,IL12A,TNFSF13B,TYMP,VCAM1",183 (15)
miR-4509 (miRNAs w/seed CUAAAGG),NA,mature microrna,NA,-1.859,0.00123,"ARSI,CAMK2A,CLUL1,CREB5,CRISPLD2,DAAM2,DNAJB4,DNAJC6,FAM43A,FKBP5,GLS,GPAT3,MTSS1,PRR5L,RASL11B,SPINT2,STC1",NA
miR-1226-3p (miRNAs w/seed CACCAGC),NA,mature microrna,NA,-1.724,0.00125,"ADAMTS1,ALPK3,ARHGEF28,ATP2A2,CCDC71L,CNIH3,DAAM2,EFR3B,EPHA4,FAM105A,FZD5,GPC2,JADE1,KCNE3,KLF15,KLLN,MCHR1,MORF4L2,NKD1,OSBPL3,PCYT2,PDK4,PHC2,PKD1L2,PLCXD3,PRKCE,PSAT1,ROBO1,RSPO1,RTKN2,SAMHD1,SCN7A,SLC39A10,ST8SIA1,TJP2,TLDC2,TSC22D3,ZCCHC6",NA
isoprenaline,NA,chemical drug,NA,1.964,0.00127,"NGF,NR4A1,NR4A3,PER1",155 (12)
ETV1,NA,transcription regulator,NA,1.091,0.00127,"BRCA1,MMP7,SOX9,TGFBR2",NA
ATXN1,NA,transcription regulator,NA,NA,0.00127,"ATP2A2,HMGB2,INPP5A,VEGFA",NA
resiquimod,NA,chemical drug,NA,-0.525,0.00128,"ANXA4,ATF3,CREB5,CXCL12,GDF15,IL12A,LIF,NAMPT,PTX3,TNFSF13B,TNFSF15,WARS",223 (14)
NFYA,NA,transcription regulator,NA,-0.277,0.00129,"CBS/CBSL,COL11A1,FGFR2,GADD45B,HSPA7,RHOB,SCD,TGFBR2",NA
miR-4782-5p (and other miRNAs w/seed UCUGGAU),NA,mature microrna,NA,-0.289,0.00129,"ADAMTS14,ADAMTS5,ARHGAP28,CBS/CBSL,CD302,CFLAR,CPM,FAM107A,FZD5,GCNT4,HIGD1A,KIAA1755,MYOZ2,NEGR1,OSBPL3,P2RX7,PKDCC,PKIA,PPP1R1B,PREB,RPS6KA5,RTKN2,SEMA3A,SLC14A1,SYNPO2,TBX18,TEX2,VEGFA",NA
miR-4529-3p (miRNAs w/seed UUGGACU),NA,mature microrna,NA,0.278,0.00129,"ANGPTL1,BMPER,C4orf46,CREB5,EBF1,FOXO1,FRK,GCNT4,HRCT1,KCNK15,KLF9,NAV3,NEDD4L,PLB1,PPTC7,PTPN22,SLC22A23,SOWAHA,STOM,SULT1C2,TNFSF13B,TNFSF15",NA
Pde,NA,group,NA,NA,0.0013,"HMOX1,NR4A1,NR4A3",NA
CD53,NA,other,NA,NA,0.0013,"FAM43A,GLS,TPPP3",NA
mir-194,NA,microrna,NA,NA,0.0013,"ACTA2,SLC7A5,THBS1",NA
GUSB,NA,enzyme,NA,NA,0.0013,"CEBPD,CYR61,EGR2",96 (7)
thalidomide,NA,chemical drug,NA,0.277,0.0013,"CFLAR,COL1A1,GADD45B,GDF15,VEGFA",193 (18)
PRKCZ,NA,kinase,NA,-0.262,0.0013,"HMOX1,PHGDH,PSAT1,VCAM1,VEGFA",194 (20)
GJA1,NA,transporter,NA,-0.555,0.0013,"FOXO1,NOV,THBS1,TNFRSF11B,VEGFA",250 (21)
GNAQ,NA,enzyme,NA,NA,0.0013,"ADAMTS1,ATP2A2,PRKCE,PRKG2,VEGFA",196 (17)
Sb202190,NA,chemical - kinase inhibitor,NA,1.612,0.00131,"COL1A1,FGFR2,HMOX1,IFIT1,IL12A,PLA2G4A,RHOB,TYMP,VEGFA,XDH",202 (16)
lovastatin,NA,chemical drug,NA,1.0,0.00131,"ADAMTS1,ATF3,ENC1,GPX3,HBA1/HBA2,HMOX1,LEP,PIK3R3,RHOB,TNFRSF11B",205 (22)
miR-4713-5p (miRNAs w/seed UCUCCCA),NA,mature microrna,NA,0.405,0.00131,"ADORA1,ALDH3A1,AMOT,ARHGEF28,CCDC34,CDKN2B,CENPP,CES3,COL1A1,CPM,DIO2,DUSP5,ENPP1,EPHB2,FAM46C,FNDC5,FZD8,GPR68,INHBE,INPP5A,KCNE3,KCNQ3,MAMDC2,METTL7A,MEX3A,MOB3B,PDPN,PIK3R1,PKNOX2,PRR5L,PRSS35,RASD2,RND2,RSPO1,RTKN2,SAMD12,SEMA3A,SLC14A1,SLC16A12,SLC38A2,SLITRK6,SYN2,TRPC6,TSPAN11,ULK2,ZDHHC23",NA
miR-3200-3p (miRNAs w/seed ACCUUGC),NA,mature microrna,NA,-0.219,0.00132,"ARMC8,FAM196A,GPAT3,GRAMD3,IRS2,KANK4,LDB2,MMD,MTSS1,NAMPT,NOV,PSAT1,RAPGEF5,RSPO2,SLC39A10,ST8SIA1,SYN3,TENM4,TNFSF15,TXNRD1,YIF1B",NA
miR-3944-5p (miRNAs w/seed GUGCAGC),NA,mature microrna,NA,-1.523,0.00134,"COL4A4,EGR2,ENC1,FAIM2,FAM105A,FAM20A,FAM46A,FKBP5,FNDC5,FRK,GLS,HRCT1,KANK4,KCNK6,KLF9,LFNG,MT1M,MTSS1,NR4A3,PAIP2B,PER1,PKDCC,RAB11FIP4,SAMD12,SEMA6D,SSH2,SUN2,SYNPO2,TJP2,TMEM37,TPPP,WASF3,YIF1B,ZDHHC23",NA
SIM1,NA,transcription regulator,NA,1.604,0.00134,"ANG,AOX1,CCR1,COL11A1,GDNF,GLUL,GPX3,LAMA2,LDB2,LEP,NFE2,PTPN22,SMARCD2,TSC22D3",NA
miR-4417 (miRNAs w/seed GUGGGCU),NA,mature microrna,NA,-0.846,0.00135,"ADORA1,ALPK3,ANPEP,ARHGAP42,CCDC71L,CRISPLD2,CSRNP3,DOK6,DUSP23,FAM46B,GPR68,GRIN2A,HPS5,JADE1,KLF6,KLHDC7B,LGI3,LIMS2,LMO3,LOC102724788/PRODH,LRRC25,MCHR1,MMP15,MTSS1,NKD1,NPC1L1,PPP1R1B,PRDM1,PTPRCAP,PXDC1,RAPGEF5,RASL11B,RCOR2,RGS6,RND2,S1PR1,SLC6A9,SORL1,SSH2,STON1,STUM",NA
miR-3473b (and other miRNAs w/seed GGCUGGA),NA,mature microrna,NA,-0.97,0.00138,"AFAP1L1,AGTRAP,ALDH6A1,AMPH,BRCA1,C1QTNF1,CCDC69,CES3,CPA4,CUBN,DAAM2,DDAH1,EPHB2,FAM107A,FAM46A,FGFR2,FKBP5,FNDC5,FSTL3,GCLM,GDNF,GPR68,GRAMD4,HIF3A,HSPA12B,INPP5D,KCNK6,KCNS1,KIAA1755,KLF6,KLHL42,LIF,LMF1,LSP1,MAFF,MARCKSL1,NEDD9,NYNRIN,PCDHGC5,PDPN,PIK3R3,PLCXD3,PPP1CB,RAB11FIP1,RAMP3,RAPGEF5,RHOJ,RND2,RNF144B,SLC16A12,SLC19A3,SLC7A14,SSH2,STC1,STOM,STUM,SULT1C2,SYN2,TLDC2",NA
JUNB,NA,transcription regulator,NA,0.761,0.00139,"ATF3,CD82,CFLAR,COL1A1,COL7A1,DUSP1,HMOX1,MMP10,PNPLA2,SCD",251 (26)
PI3K (family),NA,group,NA,-0.109,0.0014,"CDKN2B,CFLAR,CXCL12,FOXO1,GCLM,HMOX1,LEP,VEGFA",207 (20)
ETS1,NA,transcription regulator,NA,-0.094,0.0014,"ANPEP,BRCA1,CITED2,CYP24A1,HMOX1,HSPA6,IL12A,ITGA10,MMP7,NFIL3,PRDM1,TGFB2,TGFBR2,VEGFA",225 (19)
miR-4535 (miRNAs w/seed UGGACCU),NA,mature microrna,NA,-0.633,0.00141,"ABAT,ACSS1,ACVR1C,ADAMTS1,ADH1B,ARHGAP29,ASIC2,CRB1,ENPP1,FKBP5,FOXO1,GPX3,KLF15,MOB3B,NAV3,NR4A3,POU2F2,RGS6,RHOJ,SAMD12,SLC6A9,SYNPO2,TGFB2,VGLL3",NA
miR-3678-3p (miRNAs w/seed UGCAGAG),NA,mature microrna,NA,-1.385,0.00144,"ABLIM1,AMPH,ARHGAP29,ATP2A2,BEGAIN,CILP,COL4A4,CORO6,DKK2,DOK6,EBF1,IGDCC4,KCNE3,MAFF,MORF4L2,OSBPL3,PLXDC1,PRDM1,RASD2,SPARCL1,SSH2,STX11,SYNPO2,THBS1,TLDC2,TMEM26,TMEM35A,TNIK,WASF3,ZCCHC5,ZHX3,ZNF135",NA
dopamine,NA,chemical - endogenous mammalian,NA,-0.239,0.00144,"ASIC2,FST,GPR68,GPRC5B,HMOX1,KCNK6,MCHR1,PPP1R1B,SCN1B",73 (5)
NRG2,NA,growth factor,NA,NA,0.00144,"CYR61,GDF5,HMOX1,NR4A1,NR4A3,PRKG2,VEGFA",21 (3)
n-3 fatty acids,NA,chemical drug,NA,1.4,0.00144,"ALOX15B,CBS/CBSL,HMOX1,IRS2,PIK3R1,SCD",171 (10)
miR-4324 (miRNAs w/seed CCUGAGA),NA,mature microrna,NA,-0.263,0.00146,"ADAM12,ADAMTS14,ADH1B,ALOX15B,ARMC8,BDH1,C19orf38,C1QTNF1,EFR3B,FAM20A,FGD4,GDF5,GRAMD3,HIF3A,IMPA2,KIAA1755,LFNG,LGR4,LIF,MAP3K8,NCOA3,NEK10,P2RX7,PIEZO2,PRDM1,PRSS35,RSPO1,SLC14A1,STARD7,STEAP4,TNFRSF11B,TNFSF13B,TRNP1,WARS",NA
SIRT1,NA,transcription regulator,NA,1.539,0.00146,"ADAMTS5,CDKN2B,CFLAR,DBP,FABP4,FOXO1,FOXO3,HMOX1,KALRN,LEP,MAOA,NEDD4L,NEGR1,PDK4,PER1",198 (17)
miR-125a-3p (miRNAs w/seed CAGGUGA),NA,mature microrna,NA,-0.451,0.00146,"APBB2,BRCA1,CACNB2,CALCOCO2,CUBN,EFR3B,ENDOD1,EVA1C,EVI2A,FAIM2,FAM46C,FAM63B,FIBIN,FZD8,GCLM,KANK4,KLF6,LDB2,LMO3,MOB3B,MYOZ2,P2RX7,PDE5A,PKIA,PPP1CB,PRDM1,PRG4,RAP2B,RTKN2,SEMA6D,SLC19A3,SLC22A23,SLC7A14,SLC7A6,SOWAHA,TSC22D1,TSC22D3,VASH2,ZCCHC5,ZNF135",NA
parthenolide,NA,chemical drug,NA,0.849,0.0015,"ADAMTS5,HMOX1,LIF,PDK4,VCAM1",164 (18)
miR-382-5p (miRNAs w/seed AAGUUGU),NA,mature microrna,NA,-1.084,0.0015,"ATP10A,CD302,COL1A1,CYP24A1,HSPA2,KCNQ3,KLHL42,LMCD1,MARCKSL1,MEST,MORF4L2,NAV3,NEGR1,PDE5A,PPTC7,SCD,SLC7A14,SORT1,TAGLN,TMEM26,TMEM35A,TPPP,TSC22D3",NA
miR-450b-5p (miRNAs w/seed UUUGCAA),NA,mature microrna,NA,-1.869,0.0015,"ADH1B,APBB2,ARMC8,CAMK4,CDC42EP3,CLIC2,CRB1,CSRNP3,DKK2,EBF1,ENDOD1,EOGT,ERRFI1,GPM6B,HMGB2,IFI44L,MAMDC2,OTOGL,PRKCE,PTX3,RNF217,SCARF1,TUBA4A",NA
RASSF1,NA,other,NA,0.0,0.00151,"ABAT,COL4A1,CRABP2,GDF15,LDB2,LIF,NOG,SOX9",NA
RHOA,NA,enzyme,NA,0.0,0.00151,"ACTA2,CDKN2B,COL1A1,GDF15,RHOB,SOX9,TAGLN,VCAM1",218 (25)
SPIB,NA,transcription regulator,NA,-1.588,0.00151,"ATF3,BLNK,EGR2,FAM46C,KLF6,PRDM1,TENM4,TNFRSF11B",NA
miR-3156-3p (miRNAs w/seed UCCCACU),NA,mature microrna,NA,-0.385,0.00153,"ACVR1C,AMOT,AOX1,BDKRB2,BMPER,CENPP,CXCL12,EDA,EFR3B,EOGT,EPHA4,FAM46C,FZD5,GALNT15,GLUL,GPR63,GPR68,MAFF,METTL7A,MPP3,OMD,PER1,PIFO,PKNOX2,PLPPR4,RAB11FIP4,RASL11B,RASSF7,SAMD12,SEMA3A,SLC16A12,SLC22A23,SLC38A2,SORBS1,TMEM119,TMEM35A,UBASH3B,WASF3",NA
LHX1,NA,transcription regulator,NA,1.0,0.00154,"ANPEP,CUBN,FZD5,FZD8,PDPN,PKDCC,SAMD3,SEMA6D,SLC16A12",NA
lithium chloride,NA,chemical drug,NA,0.335,0.00154,"AXIN2,GDF15,GDNF,HMOX1,MT2A,PER1,PTX3,RSPO1,SOX9",238 (23)
genistein,NA,chemical drug,NA,0.138,0.00154,"BDKRB1,CFLAR,CHST7,CITED2,COL1A1,CXCL12,DUSP1,EVI2A,GDF15,GDNF,HMOX1,MAOA,OSBPL3,PER1,PIK3R1,PLCXD3,SOCS1,SORT1,TNFRSF11B,VCAM1,VEGFA",201 (20)
"11,12-epoxyeicosatrienoic acid",NA,chemical - endogenous mammalian,NA,1.154,0.00156,"CD82,DUSP1,FABP4,VCAM1",135 (10)
F10,0.66,peptidase,NA,0.0,0.00156,"CYR61,DUSP10,VCAM1,VEGFA",147 (18)
peoniflorin,NA,chemical drug,NA,-1.091,0.00156,"DDAH1,HMOX1,PPP1R1B,TUBB",NA
MAFK,0.661,transcription regulator,NA,NA,0.00156,"GCLM,HMOX1,PRDM1,TXNRD1",99 (8)
BCR (complex),NA,complex,NA,0.501,0.00157,"CFLAR,ICOSLG/LOC102723996,KLF9,NAMPT,POU2F2,PRDM1,PTPN22,S1PR1,TNFSF9,ZBTB16",216 (21)
CSF3,NA,cytokine,NA,0.653,0.00157,"CXCL12,EGR2,EGR3,GADD45B,GDNF,HMOX1,IL12A,NFIL3,PRKCE,SOCS1,VCAM1,VEGFA",202 (17)
miR-507 (and other miRNAs w/seed UUUGCAC),NA,mature microrna,NA,-0.223,0.00158,"AMPH,CAMK4,CCDC71L,CDC42EP3,DUSP10,E2F7,ENDOD1,EOGT,EVI2A,FAM43A,FST,JADE1,P2RY14,PDE5A,PDK4,PLXDC1,PRDM1,PRKCE,PTPN22,REV3L,SCARF1,SEMA6D,ST8SIA1,SULT1C2",NA
miR-466 (miRNAs w/seed UACACAU),NA,mature microrna,NA,-1.403,0.00158,"ARMC8,BMPER,COL1A1,COL4A1,CPM,DMC1,DNAJB4,EBF1,EFR3B,ENPP1,EPHA5,FAM43A,FGFR2,GCLM,IFI44L,KCNQ3,NEDD9,NPAS2,PER3,PIK3R1,PRKCE,REV3L,RTKN2,SAMD12,SAMD4A,SEMA6D,SLC19A3,SLC7A14,SORL1,STEAP4,TSPAN8,USP53",NA
miR-2277-3p (miRNAs w/seed GACAGCG),NA,mature microrna,NA,-0.072,0.00158,"ADARB1,ADORA1,CFLAR,CIT,CYTH3,FAM43A,FKBP5,ICOSLG/LOC102723996,NYNRIN,PLCXD3,PLXDC1,RGS6,RHOJ,SLC39A10,SLC6A9,STEAP2,TMEM47,TPPP,WASF3",NA
miR-4650-3p (miRNAs w/seed GGUAGAA),NA,mature microrna,NA,-0.843,0.00159,"AASS,ACVR1C,AHCTF1,ALOX15B,APBB2,ARHGAP42,ARHGEF28,CALCOCO2,DAAM2,DNM1,DUSP23,EVI2A,FGD4,GCH1,GPM6B,JADE1,N4BP3,PIFO,PLPPR4,PPP1R1B,PRKAG2,RAB11FIP1,RGCC,RHOJ,RNF217,TMEM217,TRIM45",NA
miR-1284 (and other miRNAs w/seed CUAUACA),NA,mature microrna,NA,-1.311,0.0016,"ACVR1C,AMOT,B3GALT2,CARMIL1,DNAJB4,EOGT,FZD5,GCNT4,GPAT3,GRIN2A,HMGB2,IFI44L,KALRN,KCNQ3,MEST,PLCXD3,PRKG2,REV3L,SORBS1,STOM,SYDE2,VCAM1",NA
miR-1205 (miRNAs w/seed CUGCAGG),NA,mature microrna,NA,-1.362,0.00162,"ABAT,ADAM12,AMPH,ARHGEF28,B3GALT2,BATF3,C9orf3,COL4A4,CORIN,CPM,DDAH1,DNAJC6,DUSP5,FIBIN,GCNT4,GPR63,GPR68,KCTD12,LBH,LFNG,LIF,LOC102724788/PRODH,MMP15,N4BP3,NEK10,NKD1,PAIP2B,PKDCC,PREB,RAMP3,RGS6,RTKN2,SAMD4A,SEMA6D,SYN3,TENM4,TIMP4,TLDC2,TSPAN11,WARS,ZC2HC1C,ZCCHC6",NA
mycophenolic acid,NA,chemical drug,Activated,2.646,0.00163,"ACTA2,ANPEP,ATF3,CYR61,DUSP1,PDLIM5,SAMD4A,USP53",153 (11)
GSTP1,NA,enzyme,NA,NA,0.00165,"CBS/CBSL,FKBP5,GLS,GPC2,GRIN2A,HMOX1,METTL7A,MMP7,MYOZ2,NEIL3,PER1,TSC22D3",99 (7)
miR-1207-5p (and other miRNAs w/seed GGCAGGG),NA,mature microrna,NA,-0.247,0.00166,"ACVR1C,ADAM12,ADAMTS14,ADORA1,ADRA2A,AFAP1L1,AIF1L,ALPK3,AMOT,AP1M1,ARHGEF28,BDKRB2,BEGAIN,C1QTNF1,C9orf3,CAMK2A,CARMIL1,CCDC69,CD82,CES3,CHDH,CORO2B,CRISPLD2,CXCL12,CYP24A1,DDAH1,DNAJC6,DUSP5,EDA,EPHB2,FAM105A,FAM46B,FAM46C,FER1L6,FKBP5,FOXO3,FSTL3,GDNF,GPRC5B,GRAMD4,GRIN2A,HAPLN3,ICOSLG/LOC102723996,INHBB,KCNS1,KCTD12,KIAA1755,KLF6,KLHL42,KLLN,LFNG,LMOD1,LOC102724788/PRODH,MARCH10,MFGE8,MPP3,NAV3,NKD1,NPAS2,PCYT2,PHGDH,PNPLA2,POU2F2,PPP1R14A,PPP1R1B,PPTC7,PREB,PRKCE,PXDC1,RAB11FIP4,RASD2,RHOJ,RND2,RNF144B,SLC6A9,SSH2,TGFBR2,TIMP4,TMEM217,TPPP3,TRIM45,TSPAN11,YPEL4,ZHX3",NA
miR-1185-5p (and other miRNAs w/seed GAGGAUA),NA,mature microrna,NA,-0.957,0.00169,"ADAM12,ARHGAP29,COL4A3,DAPK2,DKK2,ERP27,FGF14,FIBIN,GCNT4,HMMR,MYO16,PKDCC,PLB1,PPP1R1B,PRR5L,RGS6,RPS6KA5,SEMA3A,SGCD,SORL1,STEAP2,TNFSF13B,ZDHHC23",NA
miR-3605-5p (and other miRNAs w/seed GAGGAUG),NA,mature microrna,NA,-1.576,0.00172,"ABAT,ADAM12,ADARB1,AIF1L,C1QTNF1,CALCOCO2,CHST7,DAPK2,FAM196A,FAM198B,GRAMD4,HIGD1A,HMOX1,HSPA6,KCNK6,KCNQ3,LOC102724788/PRODH,NKD1,NOV,POU2F2,RND2,SAMD4A,SAMHD1,SEMA3A,SLC5A6,TLDC2,TMEM26",NA
bardoxolone,NA,chemical drug,NA,-0.728,0.00172,"ACTA2,CFLAR,GCLM,HMOX1,TXNRD1",NA
sildenafil,NA,chemical drug,NA,-1.446,0.00172,"CFLAR,HMOX1,PDE5A,TRPC6,VEGFA",227 (24)
F3,NA,transmembrane receptor,NA,-0.217,0.00172,"CYR61,MMP7,SEMA3A,TGFBR2,UBASH3B,VCAM1,VEGFA",126 (13)
miR-4747-3p (miRNAs w/seed AGGCCCG),NA,mature microrna,NA,0.262,0.00173,"ALPK3,ASB5,CD82,CSRNP3,CXCL12,ENC1,EPHB2,FAM105A,FAM160A1,FAM196A,GCHFR,GPR68,GRAMD4,HIF3A,INPP5D,KCNK15,KCNS1,KLF6,KLHDC7B,KLLN,MPP3,NPC1L1,PER3,PHGDH,PIK3R3,RAB11FIP4,RHOB,RSPO1,SMARCD2,TSC22D3",NA
S100A8,NA,other,NA,0.0,0.00174,"ACSS1,ADAMTS1,ADAMTS5,ATF3,CHDH,CPM,HMOX1,KLF15,LOC102724788/PRODH,NR4A3,PER1,VCAM1",192 (20)
miR-3161 (miRNAs w/seed UGAUAAG),NA,mature microrna,NA,-1.071,0.00174,"ADAMTS1,ARHGEF28,ASB5,CDKN2B,COL11A1,CORO2B,EBF1,LRRN1,NR4A3,SEMA3A,STARD7,ZCCHC5",NA
GDF2,NA,growth factor,NA,-0.301,0.00176,"COL1A1,CXCL12,GADD45B,NGF,NOG,RASL11B,SLC6A6,SPARCL1",116 (7)
TNFSF13B,-1.513,cytokine,NA,-0.289,0.00179,"DUSP5,FOXO1,ICOSLG/LOC102723996,LEP,NAMPT,PRDM1",247 (20)
miR-516b-5p (miRNAs w/seed UCUGGAG),NA,mature microrna,Inhibited,-2.293,0.00179,"ABHD5,ACSS1,ADAMTS5,ADARB1,AMPH,ANGPTL1,ANXA4,CACNB2,CHDH,CYTH3,DDAH1,EDA,FAM107A,FNDC5,FOXO3,FRZB,GPM6B,GPR20,ICOSLG/LOC102723996,KCNE3,KCNK15,KIAA1755,LAMA2,NPC1L1,PDZD2,SAMD12,SCD,SORBS1,STOM,STX11,SUN2,TGFBR2,TSC22D3,TUBB,USP53,WARS",NA
EPAS1,-0.597,transcription regulator,NA,0.192,0.0018,"CITED2,GADD45B,GCHFR,GLS,INHBB,IRS2,MAFF,NFIL3,SLC7A5,SOX9,TNFRSF11B,TNFSF15,VEGFA",186 (10)
calmidazolium,NA,chemical drug,NA,NA,0.00182,"RSPO1,SOX9,VCAM1",NA
gossypol,NA,chemical drug,NA,NA,0.00182,"ATF3,NCOA3,SAT1",NA
NFE2L2,NA,transcription regulator,NA,1.207,0.00185,"ALDH3A1,ANG,AOX1,BRCA1,COL1A1,FKBP5,FOXO3,GCLM,GPX3,HMOX1,MAFF,MORF4L2,PKIA,PSAT1,SAT1,SERPINA3,SLC6A9,SYN2,TXNRD1,VCAM1,VEGFA",182 (20)
TLR4,NA,transmembrane receptor,NA,-0.465,0.0018600000000000001,"ATF3,CCL8,CD163,CEBPD,CFLAR,CITED2,CYR61,GDNF,HMOX1,IL12A,NR4A1,NR4A3,PRDM1,RGCC,SAP30,SOCS1,TSC22D1,TSLP,VCAM1",218 (16)
IL27,NA,cytokine,NA,-1.131,0.00187,"C10orf10,CD163,CEBPD,CFLAR,EGR2,IL12A,PRDM1,SOCS1,TNFSF13B,VCAM1",221 (15)
